"CABELLO";"OJOS";"PIEL";"CROMA_CAB";"CROMA_OJOS";"CROMA_PIEL"
"rubio";"gris";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"gris";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"gris";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"gris";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"gris";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"gris";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"gris";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"gris";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"gris";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"gris";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"gris";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"gris";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"gris";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"negro";"melocoton";"suave";"suave";"suave"
"rubio";"negro";"melocoton";"suave";"suave";"brillante"
"rubio";"negro";"melocoton";"suave";"brillante";"suave"
"rubio";"negro";"melocoton";"suave";"brillante";"brillante"
"rubio";"negro";"melocoton";"brillante";"suave";"suave"
"rubio";"negro";"melocoton";"brillante";"suave";"brillante"
"rubio";"negro";"melocoton";"brillante";"brillante";"suave"
"rubio";"negro";"melocoton";"brillante";"brillante";"brillante"
"rubio";"negro";"blanco / palido";"suave";"suave";"suave"
"rubio";"negro";"blanco / palido";"suave";"suave";"brillante"
"rubio";"negro";"blanco / palido";"suave";"brillante";"suave"
"rubio";"negro";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"negro";"blanco / palido";"brillante";"suave";"suave"
"rubio";"negro";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"negro";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"negro";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"negro";"rosada";"suave";"suave";"suave"
"rubio";"negro";"rosada";"suave";"suave";"brillante"
"rubio";"negro";"rosada";"suave";"brillante";"suave"
"rubio";"negro";"rosada";"suave";"brillante";"brillante"
"rubio";"negro";"rosada";"brillante";"suave";"suave"
"rubio";"negro";"rosada";"brillante";"suave";"brillante"
"rubio";"negro";"rosada";"brillante";"brillante";"suave"
"rubio";"negro";"rosada";"brillante";"brillante";"brillante"
"rubio";"negro";"negro";"suave";"suave";"suave"
"rubio";"negro";"negro";"suave";"suave";"brillante"
"rubio";"negro";"negro";"suave";"brillante";"suave"
"rubio";"negro";"negro";"suave";"brillante";"brillante"
"rubio";"negro";"negro";"brillante";"suave";"suave"
"rubio";"negro";"negro";"brillante";"suave";"brillante"
"rubio";"negro";"negro";"brillante";"brillante";"suave"
"rubio";"negro";"negro";"brillante";"brillante";"brillante"
"rubio";"negro";"amarillento";"suave";"suave";"suave"
"rubio";"negro";"amarillento";"suave";"suave";"brillante"
"rubio";"negro";"amarillento";"suave";"brillante";"suave"
"rubio";"negro";"amarillento";"suave";"brillante";"brillante"
"rubio";"negro";"amarillento";"brillante";"suave";"suave"
"rubio";"negro";"amarillento";"brillante";"suave";"brillante"
"rubio";"negro";"amarillento";"brillante";"brillante";"suave"
"rubio";"negro";"amarillento";"brillante";"brillante";"brillante"
"rubio";"negro";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"negro";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"negro";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"negro";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"negro";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"negro";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"negro";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"negro";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"negro";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"negro";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"negro";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"negro";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"negro";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"negro";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"negro";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"negro";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"melocoton";"suave";"suave";"suave"
"rubio";"marron oscuro";"melocoton";"suave";"suave";"brillante"
"rubio";"marron oscuro";"melocoton";"suave";"brillante";"suave"
"rubio";"marron oscuro";"melocoton";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"melocoton";"brillante";"suave";"suave"
"rubio";"marron oscuro";"melocoton";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"melocoton";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"melocoton";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"blanco / palido";"suave";"suave";"suave"
"rubio";"marron oscuro";"blanco / palido";"suave";"suave";"brillante"
"rubio";"marron oscuro";"blanco / palido";"suave";"brillante";"suave"
"rubio";"marron oscuro";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"blanco / palido";"brillante";"suave";"suave"
"rubio";"marron oscuro";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"rosada";"suave";"suave";"suave"
"rubio";"marron oscuro";"rosada";"suave";"suave";"brillante"
"rubio";"marron oscuro";"rosada";"suave";"brillante";"suave"
"rubio";"marron oscuro";"rosada";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"rosada";"brillante";"suave";"suave"
"rubio";"marron oscuro";"rosada";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"rosada";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"rosada";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"negro";"suave";"suave";"suave"
"rubio";"marron oscuro";"negro";"suave";"suave";"brillante"
"rubio";"marron oscuro";"negro";"suave";"brillante";"suave"
"rubio";"marron oscuro";"negro";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"negro";"brillante";"suave";"suave"
"rubio";"marron oscuro";"negro";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"negro";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"negro";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"amarillento";"suave";"suave";"suave"
"rubio";"marron oscuro";"amarillento";"suave";"suave";"brillante"
"rubio";"marron oscuro";"amarillento";"suave";"brillante";"suave"
"rubio";"marron oscuro";"amarillento";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"amarillento";"brillante";"suave";"suave"
"rubio";"marron oscuro";"amarillento";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"amarillento";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"amarillento";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"marron oscuro";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"marron oscuro";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"marron oscuro";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"marron oscuro";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"marron oscuro";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"marron oscuro";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"marron oscuro";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"marron oscuro";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"marron oscuro";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"marron oscuro";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"marron oscuro";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"marron oscuro";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"azul";"melocoton";"suave";"suave";"suave"
"rubio";"azul";"melocoton";"suave";"suave";"brillante"
"rubio";"azul";"melocoton";"suave";"brillante";"suave"
"rubio";"azul";"melocoton";"suave";"brillante";"brillante"
"rubio";"azul";"melocoton";"brillante";"suave";"suave"
"rubio";"azul";"melocoton";"brillante";"suave";"brillante"
"rubio";"azul";"melocoton";"brillante";"brillante";"suave"
"rubio";"azul";"melocoton";"brillante";"brillante";"brillante"
"rubio";"azul";"blanco / palido";"suave";"suave";"suave"
"rubio";"azul";"blanco / palido";"suave";"suave";"brillante"
"rubio";"azul";"blanco / palido";"suave";"brillante";"suave"
"rubio";"azul";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"azul";"blanco / palido";"brillante";"suave";"suave"
"rubio";"azul";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"azul";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"azul";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"azul";"rosada";"suave";"suave";"suave"
"rubio";"azul";"rosada";"suave";"suave";"brillante"
"rubio";"azul";"rosada";"suave";"brillante";"suave"
"rubio";"azul";"rosada";"suave";"brillante";"brillante"
"rubio";"azul";"rosada";"brillante";"suave";"suave"
"rubio";"azul";"rosada";"brillante";"suave";"brillante"
"rubio";"azul";"rosada";"brillante";"brillante";"suave"
"rubio";"azul";"rosada";"brillante";"brillante";"brillante"
"rubio";"azul";"negro";"suave";"suave";"suave"
"rubio";"azul";"negro";"suave";"suave";"brillante"
"rubio";"azul";"negro";"suave";"brillante";"suave"
"rubio";"azul";"negro";"suave";"brillante";"brillante"
"rubio";"azul";"negro";"brillante";"suave";"suave"
"rubio";"azul";"negro";"brillante";"suave";"brillante"
"rubio";"azul";"negro";"brillante";"brillante";"suave"
"rubio";"azul";"negro";"brillante";"brillante";"brillante"
"rubio";"azul";"amarillento";"suave";"suave";"suave"
"rubio";"azul";"amarillento";"suave";"suave";"brillante"
"rubio";"azul";"amarillento";"suave";"brillante";"suave"
"rubio";"azul";"amarillento";"suave";"brillante";"brillante"
"rubio";"azul";"amarillento";"brillante";"suave";"suave"
"rubio";"azul";"amarillento";"brillante";"suave";"brillante"
"rubio";"azul";"amarillento";"brillante";"brillante";"suave"
"rubio";"azul";"amarillento";"brillante";"brillante";"brillante"
"rubio";"azul";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"azul";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"azul";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"azul";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"azul";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"azul";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"azul";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"azul";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"azul";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"azul";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"azul";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"azul";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"azul";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"azul";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"azul";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"azul";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"almendra";"melocoton";"suave";"suave";"suave"
"rubio";"almendra";"melocoton";"suave";"suave";"brillante"
"rubio";"almendra";"melocoton";"suave";"brillante";"suave"
"rubio";"almendra";"melocoton";"suave";"brillante";"brillante"
"rubio";"almendra";"melocoton";"brillante";"suave";"suave"
"rubio";"almendra";"melocoton";"brillante";"suave";"brillante"
"rubio";"almendra";"melocoton";"brillante";"brillante";"suave"
"rubio";"almendra";"melocoton";"brillante";"brillante";"brillante"
"rubio";"almendra";"blanco / palido";"suave";"suave";"suave"
"rubio";"almendra";"blanco / palido";"suave";"suave";"brillante"
"rubio";"almendra";"blanco / palido";"suave";"brillante";"suave"
"rubio";"almendra";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"almendra";"blanco / palido";"brillante";"suave";"suave"
"rubio";"almendra";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"almendra";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"almendra";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"almendra";"rosada";"suave";"suave";"suave"
"rubio";"almendra";"rosada";"suave";"suave";"brillante"
"rubio";"almendra";"rosada";"suave";"brillante";"suave"
"rubio";"almendra";"rosada";"suave";"brillante";"brillante"
"rubio";"almendra";"rosada";"brillante";"suave";"suave"
"rubio";"almendra";"rosada";"brillante";"suave";"brillante"
"rubio";"almendra";"rosada";"brillante";"brillante";"suave"
"rubio";"almendra";"rosada";"brillante";"brillante";"brillante"
"rubio";"almendra";"negro";"suave";"suave";"suave"
"rubio";"almendra";"negro";"suave";"suave";"brillante"
"rubio";"almendra";"negro";"suave";"brillante";"suave"
"rubio";"almendra";"negro";"suave";"brillante";"brillante"
"rubio";"almendra";"negro";"brillante";"suave";"suave"
"rubio";"almendra";"negro";"brillante";"suave";"brillante"
"rubio";"almendra";"negro";"brillante";"brillante";"suave"
"rubio";"almendra";"negro";"brillante";"brillante";"brillante"
"rubio";"almendra";"amarillento";"suave";"suave";"suave"
"rubio";"almendra";"amarillento";"suave";"suave";"brillante"
"rubio";"almendra";"amarillento";"suave";"brillante";"suave"
"rubio";"almendra";"amarillento";"suave";"brillante";"brillante"
"rubio";"almendra";"amarillento";"brillante";"suave";"suave"
"rubio";"almendra";"amarillento";"brillante";"suave";"brillante"
"rubio";"almendra";"amarillento";"brillante";"brillante";"suave"
"rubio";"almendra";"amarillento";"brillante";"brillante";"brillante"
"rubio";"almendra";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"almendra";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"almendra";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"almendra";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"almendra";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"almendra";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"almendra";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"almendra";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"almendra";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"almendra";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"almendra";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"almendra";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"almendra";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"almendra";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"almendra";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"almendra";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"ambar";"melocoton";"suave";"suave";"suave"
"rubio";"ambar";"melocoton";"suave";"suave";"brillante"
"rubio";"ambar";"melocoton";"suave";"brillante";"suave"
"rubio";"ambar";"melocoton";"suave";"brillante";"brillante"
"rubio";"ambar";"melocoton";"brillante";"suave";"suave"
"rubio";"ambar";"melocoton";"brillante";"suave";"brillante"
"rubio";"ambar";"melocoton";"brillante";"brillante";"suave"
"rubio";"ambar";"melocoton";"brillante";"brillante";"brillante"
"rubio";"ambar";"blanco / palido";"suave";"suave";"suave"
"rubio";"ambar";"blanco / palido";"suave";"suave";"brillante"
"rubio";"ambar";"blanco / palido";"suave";"brillante";"suave"
"rubio";"ambar";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"ambar";"blanco / palido";"brillante";"suave";"suave"
"rubio";"ambar";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"ambar";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"ambar";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"ambar";"rosada";"suave";"suave";"suave"
"rubio";"ambar";"rosada";"suave";"suave";"brillante"
"rubio";"ambar";"rosada";"suave";"brillante";"suave"
"rubio";"ambar";"rosada";"suave";"brillante";"brillante"
"rubio";"ambar";"rosada";"brillante";"suave";"suave"
"rubio";"ambar";"rosada";"brillante";"suave";"brillante"
"rubio";"ambar";"rosada";"brillante";"brillante";"suave"
"rubio";"ambar";"rosada";"brillante";"brillante";"brillante"
"rubio";"ambar";"negro";"suave";"suave";"suave"
"rubio";"ambar";"negro";"suave";"suave";"brillante"
"rubio";"ambar";"negro";"suave";"brillante";"suave"
"rubio";"ambar";"negro";"suave";"brillante";"brillante"
"rubio";"ambar";"negro";"brillante";"suave";"suave"
"rubio";"ambar";"negro";"brillante";"suave";"brillante"
"rubio";"ambar";"negro";"brillante";"brillante";"suave"
"rubio";"ambar";"negro";"brillante";"brillante";"brillante"
"rubio";"ambar";"amarillento";"suave";"suave";"suave"
"rubio";"ambar";"amarillento";"suave";"suave";"brillante"
"rubio";"ambar";"amarillento";"suave";"brillante";"suave"
"rubio";"ambar";"amarillento";"suave";"brillante";"brillante"
"rubio";"ambar";"amarillento";"brillante";"suave";"suave"
"rubio";"ambar";"amarillento";"brillante";"suave";"brillante"
"rubio";"ambar";"amarillento";"brillante";"brillante";"suave"
"rubio";"ambar";"amarillento";"brillante";"brillante";"brillante"
"rubio";"ambar";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"ambar";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"ambar";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"ambar";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"ambar";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"ambar";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"ambar";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"ambar";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"ambar";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"ambar";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"ambar";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"ambar";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"ambar";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"ambar";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"ambar";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"ambar";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"verde";"melocoton";"suave";"suave";"suave"
"rubio";"verde";"melocoton";"suave";"suave";"brillante"
"rubio";"verde";"melocoton";"suave";"brillante";"suave"
"rubio";"verde";"melocoton";"suave";"brillante";"brillante"
"rubio";"verde";"melocoton";"brillante";"suave";"suave"
"rubio";"verde";"melocoton";"brillante";"suave";"brillante"
"rubio";"verde";"melocoton";"brillante";"brillante";"suave"
"rubio";"verde";"melocoton";"brillante";"brillante";"brillante"
"rubio";"verde";"blanco / palido";"suave";"suave";"suave"
"rubio";"verde";"blanco / palido";"suave";"suave";"brillante"
"rubio";"verde";"blanco / palido";"suave";"brillante";"suave"
"rubio";"verde";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"verde";"blanco / palido";"brillante";"suave";"suave"
"rubio";"verde";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"verde";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"verde";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"verde";"rosada";"suave";"suave";"suave"
"rubio";"verde";"rosada";"suave";"suave";"brillante"
"rubio";"verde";"rosada";"suave";"brillante";"suave"
"rubio";"verde";"rosada";"suave";"brillante";"brillante"
"rubio";"verde";"rosada";"brillante";"suave";"suave"
"rubio";"verde";"rosada";"brillante";"suave";"brillante"
"rubio";"verde";"rosada";"brillante";"brillante";"suave"
"rubio";"verde";"rosada";"brillante";"brillante";"brillante"
"rubio";"verde";"negro";"suave";"suave";"suave"
"rubio";"verde";"negro";"suave";"suave";"brillante"
"rubio";"verde";"negro";"suave";"brillante";"suave"
"rubio";"verde";"negro";"suave";"brillante";"brillante"
"rubio";"verde";"negro";"brillante";"suave";"suave"
"rubio";"verde";"negro";"brillante";"suave";"brillante"
"rubio";"verde";"negro";"brillante";"brillante";"suave"
"rubio";"verde";"negro";"brillante";"brillante";"brillante"
"rubio";"verde";"amarillento";"suave";"suave";"suave"
"rubio";"verde";"amarillento";"suave";"suave";"brillante"
"rubio";"verde";"amarillento";"suave";"brillante";"suave"
"rubio";"verde";"amarillento";"suave";"brillante";"brillante"
"rubio";"verde";"amarillento";"brillante";"suave";"suave"
"rubio";"verde";"amarillento";"brillante";"suave";"brillante"
"rubio";"verde";"amarillento";"brillante";"brillante";"suave"
"rubio";"verde";"amarillento";"brillante";"brillante";"brillante"
"rubio";"verde";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"verde";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"verde";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"verde";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"verde";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"verde";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"verde";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"verde";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"verde";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"verde";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"verde";"moreno / marron claro";"suave";"brillante";"suave"
"rubio";"verde";"moreno / marron claro";"suave";"brillante";"brillante"
"rubio";"verde";"moreno / marron claro";"brillante";"suave";"suave"
"rubio";"verde";"moreno / marron claro";"brillante";"suave";"brillante"
"rubio";"verde";"moreno / marron claro";"brillante";"brillante";"suave"
"rubio";"verde";"moreno / marron claro";"brillante";"brillante";"brillante"
"rubio";"miel";"melocoton";"suave";"suave";"suave"
"rubio";"miel";"melocoton";"suave";"suave";"brillante"
"rubio";"miel";"melocoton";"suave";"brillante";"suave"
"rubio";"miel";"melocoton";"suave";"brillante";"brillante"
"rubio";"miel";"melocoton";"brillante";"suave";"suave"
"rubio";"miel";"melocoton";"brillante";"suave";"brillante"
"rubio";"miel";"melocoton";"brillante";"brillante";"suave"
"rubio";"miel";"melocoton";"brillante";"brillante";"brillante"
"rubio";"miel";"blanco / palido";"suave";"suave";"suave"
"rubio";"miel";"blanco / palido";"suave";"suave";"brillante"
"rubio";"miel";"blanco / palido";"suave";"brillante";"suave"
"rubio";"miel";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"miel";"blanco / palido";"brillante";"suave";"suave"
"rubio";"miel";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"miel";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"miel";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"miel";"rosada";"suave";"suave";"suave"
"rubio";"miel";"rosada";"suave";"suave";"brillante"
"rubio";"miel";"rosada";"suave";"brillante";"suave"
"rubio";"miel";"rosada";"suave";"brillante";"brillante"
"rubio";"miel";"rosada";"brillante";"suave";"suave"
"rubio";"miel";"rosada";"brillante";"suave";"brillante"
"rubio";"miel";"rosada";"brillante";"brillante";"suave"
"rubio";"miel";"rosada";"brillante";"brillante";"brillante"
"rubio";"miel";"negro";"suave";"suave";"suave"
"rubio";"miel";"negro";"suave";"suave";"brillante"
"rubio";"miel";"negro";"suave";"brillante";"suave"
"rubio";"miel";"negro";"suave";"brillante";"brillante"
"rubio";"miel";"negro";"brillante";"suave";"suave"
"rubio";"miel";"negro";"brillante";"suave";"brillante"
"rubio";"miel";"negro";"brillante";"brillante";"suave"
"rubio";"miel";"negro";"brillante";"brillante";"brillante"
"rubio";"miel";"amarillento";"suave";"suave";"suave"
"rubio";"miel";"amarillento";"suave";"suave";"brillante"
"rubio";"miel";"amarillento";"suave";"brillante";"suave"
"rubio";"miel";"amarillento";"suave";"brillante";"brillante"
"rubio";"miel";"amarillento";"brillante";"suave";"suave"
"rubio";"miel";"amarillento";"brillante";"suave";"brillante"
"rubio";"miel";"amarillento";"brillante";"brillante";"suave"
"rubio";"miel";"amarillento";"brillante";"brillante";"brillante"
"rubio";"miel";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"miel";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"miel";"moreno claro / dorado";"suave";"brillante";"suave"
"rubio";"miel";"moreno claro / dorado";"suave";"brillante";"brillante"
"rubio";"miel";"moreno claro / dorado";"brillante";"suave";"suave"
"rubio";"miel";"moreno claro / dorado";"brillante";"suave";"brillante"
"rubio";"miel";"moreno claro / dorado";"brillante";"brillante";"suave"
"rubio";"miel";"moreno claro / dorado";"brillante";"brillante";"brillante"
"rubio";"miel";"moreno / marron claro";"suave";"suave";"suave"
"rubio";"miel";"moreno / marron claro";"suave";"suave";"brillante"
"rubio";"miel";"moreno / marron claro";"suave";"brillante";"suave"
